Route,Method,Data
/api/auth/signin,POST,"{
    email: String,
    password: String
}"
/api/auth/signup,POST,"{
    firstName: String,
    lastName: String,
    email: String,
    phoneNumber: String,
    address: String,
    password: String
}"
